identifier,filename,title,format,description,contributor,coverage,creator,date,latitude,longitude,year,publisher,rights,subject
PC022737,https://dn790002.ca.archive.org/0/items/PC022737/PC022737r.jpg,Banff Springs Hotel and Sulphur Mountain,image/jpeg,View of Hotel from the front right.,,"Canada, Alberta, Banff National Park",,,46.725562,-117.009633,,,Public Domain,Hotels
PC030472,https://archive.org/details/PC030472,"A live one: Stampede, Calgary, 1919",image/jpeg,Cowboy riding a bucking horse. Several riders are visible in the background.,University of Alberta Libraries,"Canada, Alberta, Calgary",,1919,51.049999,-114.066666,[1919?],,Public Domain,Rodeos
PC021552,https://archive.org/details/PC021552,"L.D.S. Temple from S.E., Cardston",image/jpeg,View of Temple from down the hill.,University of Alberta Libraries,"Canada, Alberta, Cardston",,,49.2025,-113.30194,,,For more information visit the University of Alberta Library digital collections rights page,Churches
PC035079,https://archive.org/details/PC035079,"Roman Catholic Church, Edmonton, Alta. / St. Joachim's Church and Convent, Edmonton, Alta.",image/jpeg,Separate images of churches and adjacent buildings.,,"Canada, Alberta, Edmonton",,,,,,,For more information visit the University of Alberta Library digital collections rights page,Catholic churches
PC018614,https://archive.org/details/PC018614,"Schoolhouse: MacGregor, Man.",image/jpeg,View of School and adjacent buildings from the front left.,,"Canada, Manitoba, MacGregor",,,,,,Meyers Photo,For more information visit the University of Alberta Library digital collections rights page,Schools
PC021983,https://archive.org/details/PC021983,"The Lake, Minnedosa, Man.",image/jpeg,View of dock from the shore. Several people are visible on the pier and in the water.,,"Canada, Manitoba, Minnedosa",,,,,,,For more information visit the University of Alberta Library digital collections rights page,Piers & wharves
PC016729,https://archive.org/details/PC016729,"St. Mary's Church (Episcopalian), Portage la Prairie, Man.",image/jpeg,View of Church and grounds from the front left.,,"Canada, Manitoba, Portage la Prairie",,,,,,"The Valentine & Sons Publishing Co., Ltd., Montreal andToronto",Public Domain,Protestant churches
PC020554,https://archive.org/details/PC020554,"Seminary, St. Boniface, Man.",image/jpeg,View of Seminary from an adjacent street.,University of Alberta Libraries,"Canada, Manitoba, Saint-Boniface",,,,,,,For more information visit the University of Alberta Library digital collections rights page,Theological seminaries
PC027626,https://archive.org/details/PC027626,"CentralCongregationalChurch, Winnipeg",image/jpeg,View of Church and grounds.,,"Canada, Manitoba, Winnipeg",,,,,,"The Valentine &Sons' Publishing Co., Ltd.Montrealand Toronto",For more information visit the University of Alberta Library digital collections rights page,Congregational churches
PC022092,https://archive.org/details/PC022092,"St. Stephen's Church, Winnipeg",image/jpeg,View of Church and adjacent buildings from the front left.,,"Canada, Manitoba, Winnipeg",,,,,,"L.G. DeNobele Import, Winnipeg",Public Domain,Presbyterian churches
PC023438,https://archive.org/details/PC023438,"Winter scene, Clear Lake",image/jpeg,Elevated view of ice-covered lake.,,"Canada, Manitoba,Clear Lake",,,,,,,For more information visit the University of Alberta Library digital collections rights page,Lakes & ponds
PC022485,https://archive.org/details/PC022485,Carlyle Lake,image/jpeg,View of Lake through trees. Automobiles and campers are visible in the foreground.,University of Alberta Libraries,"Canada, Saskatchewan, Carlyle Lake",,1931,,,1931,,Public Domain,Beaches
PC020989,https://archive.org/details/PC020989,"Presbyterian Church, Saskatoon",image/jpeg,View of Church and adjacent homes.,University of Alberta Libraries,"Canada, Saskatchewan, Saskatoon",,,,,,,For more information visit the University of Alberta Library digital collections rights page,Churches
PC031208,https://archive.org/details/PC031208,"U. of Sask., Apr. 1920",image/jpeg,View of what appears to be a garage containing cars and farm equipment. Several men are posing beside the machinery.,,"Canada, Saskatchewan, Saskatoon",,,,,,,Public Domain,Garages; Educational facilities
PC003008,https://archive.org/details/PC003008,"Stratcheonah Street Athabasca landing, Alta.",image/jpeg,"A view of people and buildings on Strathcona Street, Athabasca, Alberta.",,Canada; Alberta; Athabasca,Pugh Limited: Publisher,1910,,,1910,"Pugh Limited, Toronto",Public Domain,Commercial streets; Stores & shops; Hotels
PC003031,https://archive.org/details/PC003031,"Athabasca, Alta looking south",image/jpeg,"A view of the town of Athabasca, Alberta from north of the Athabasca River.",,Canada; Alberta; Athabasca,,1910-06-20,,,1910,,Public Domain,Cityscapes; Rivers; Waterfronts; Steamboats; Athabasca River (Alta.)
PC003036,https://archive.org/details/PC003036,Indian tracking on Athabasca River,image/jpeg,"Tracking boats, Athabasca river, Alberta. Shows Natives pulling on ropes to guide boats up Athabasca River near Pelican Portage.",,Canada; Alberta; Athabasca,The H. Enida Oliver Co'y Ltd: Publisher,1911,,,1911,"""Copyright"" The H. Enida Oliver Co'y Ltd Calgary. Canada",Public Domain,Rivers; Boats; Cliffs; Rock formations; Indigenous peoples; Athabasca River (Alta.)
PC009994,https://archive.org/details/PC009994,"Boathouse on th Bow River, Banff",image/jpeg,Image shows a view of the Bow River in Banff National Park with a boat house and mountains in the background.,,"Canada, Alberta, Banff National Park","Thomson, Stephen J.: Publisher",1907,,,1907,"Stephen J. Thompson, Publisher, Vancouver, B.C.",Public Domain,Rivers; Mountains; Boathouses; Waterfronts
PC007309,https://archive.org/details/PC007309,"Canadian Rockies, Banff Springs Hotel, Golf Club and Spray River",image/jpeg,"Image shows the river in the foreground, with trees, mountains and several buildings across the river.",,"Canada, Alberta, Banff National Park",Coast Publishing Co: Publisher,1915-06-18,,,1915,"Coast Publishing Co., Vancouver, B.C.",Public Domain,Rivers; Golf; Hotels; Banff Springs Hotel; Spray River (Alta.)
PC007285,https://archive.org/details/PC007285,"Banff Springs Hotel, Banff National Park",image/jpeg,View of the Banff Springs Hotel with Sulphur Mountain in the background.,,"Canada, Alberta, Banff National Park","Harmon, Byron: Photographer",1920,,,1920,"Byron Harmon, Banff, Canada.",For more information visit the University of Alberta Library digital collections rights page,Hotels; Mountains; Smoke; National parks & reserves; Valleys
PC007639,https://archive.org/details/PC007639,"Bow River bridge and Mt. Rundle, 9.615 feet, Banff, Canadian Rockies.",image/jpeg,"View of the Mount Rundle, from the Bow River. There are two figures in a boat; one reclines while the other rows. There is a bridge in the background.",,"Canada, Alberta, Banff National Park",,1920-06-18,,,1920,"Coast Publishing Co., Vancouver, B.C.",Public Domain,Mountains; Rivers; Bridges; Boats; Boathouses; National parks & reserves; Mount Rundle (Alta.); Bow River (Alta.); Banff National Park (Alta.)
PC007155,https://archive.org/details/PC007155,Cascade Mtn. Banff,image/jpeg,View of Cascade Mountain. Located in the Bow River Valley west of Cascade River; north of Banff townsite. Named by James Hector in 1858. The mountain is named for the cascade or waterfall on its southern cliffs.,,"Canada, Alberta, Banff National Park","Harmon, Byron: Photographer",1927,,,1927,"Byron Harmon, Banff, Canada.",Public Domain,Mountains; Bridges; Rivers; National parks & reserves
PC022143,https://archive.org/details/PC022143,"Banff Springs Hotel, the inner pool",image/jpeg,,,"Canada, Alberta, Banff National Park",,1929,,,1929,,Public Domain,
PC007104,https://archive.org/details/PC007104,Banff Chair Lift.,image/jpeg,View of Banff chair lift and townsite.,,"Canada, Alberta, Banff National Park","Harmon, Byron: Photographer",1930,,,1930,"Photographed and Copyrighted by Byron Harmon, Banff, Canada.",Public Domain,Ski lifts; Mountains; National parks & reserves; Banff National Park (Alta.)
PC007178,https://archive.org/details/PC007178,"The gardens - Cascade of Time - Banff, Alberta",image/jpeg,"A section of Cascade Gardens in Banff, Alberta. The Gardens are located on the grounds of the Administration Office of Banff National Park ,on the South End of Banff Avenue.",,"Canada, Alberta, Banff National Park",Gowen Sutton Co. Ltd: Publisher,1940,,,1940,"Gowen Sutton Co. Ltd., Vancouver, B.C.",Public Domain,Gardens; Trees; Springs; Cascade Gardens (Banff;  Alta.)
PC007301,https://archive.org/details/PC007301,"The Bow Valley at Banff, Alberta with the Banff Springs Hotel",image/jpeg,"View of Banff Springs Hotel and the Bow River Valley, Banff, Alberta.",,"Canada, Alberta, Banff National Park",Gowen Sutton Co. Ltd.,1940,,,1940,"Gowen Sutton Co. Ltd., Vancouver, B.C.",Public Domain,Hotels; Mountains; Rivers; Valleys; National parks & reserves; Banff Springs Hotel; Bow River Valley (Alta.); Banff National Park (Alta.)
PC011923,https://archive.org/details/PC011923,"Banff Ave., Banff",image/jpeg,View of Banff Avenue looking north toward Cascade Montain. Cars drive on either side of the median on the street.,,"Canada, Alberta, Banff National Park","Harmon, Byron: Photographer",1942,,,1942,"Photographed and Published by Byron Harmon, Banff, Canada",Public Domain,Commercial streets; Automobiles; Mountains; Stores & shops
PC007268,https://archive.org/details/PC007268,Banff Springs Hotel.,image/jpeg,View of the Banff Springs Hotel with the Bow Valley in the background. The photograph is framed by two pine trees.,,"Canada, Alberta, Banff National Park","Harmon, Byron: Photographer",1948,,,1948,"Photographed & Copyrighted by Byron Harmon, Banff, Canada.",Public Domain,Hotels; Mountains; Valleys
PC009997,https://archive.org/details/PC009997,"Main Street and Cascade Mountain. 9,796 ft. Banff, Canadian Rockies",image/jpeg,View of Banff Avenue looking north toward Cascade Mountain. The signs of various businesses - including the King Edward Hotel and Cascade Cafe - are visible. Cars are driving and parked on either side.,,"Canada, Alberta, Banff National Park",Coast Publishing Co.: Publisher,,,,,"Published by the Coast Publishing Co., Vancouver, B.C.",Public Domain,Commercial streets; Mountains; Stores & shops; Automobiles; Banff National Park (Alta.); Cascade Mountain (Alta.)
PC028067,https://archive.org/details/PC028067,Lake Louise and Chateau from Victoria Glacier,image/jpeg,,,"Canada, Alberta, Banff National Park",,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC023206,https://archive.org/details/PC023206,"C.P.R. hotel, Banff",image/jpeg,,,"Canada, Alberta, Banff National Park",,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC003081,https://archive.org/details/PC003081,Range cattle Beaver Lake Alta,image/jpeg,"View of a large herd of cattle spread out among the foothills near Beaver Lake, Alberta.",,Canada; Alberta; Beaver Lake,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Cattle; Grazing; Hills
PC011944,https://archive.org/details/PC011944,"Blairmore, Alberta, looking east",image/jpeg,"Bird's eye view of Blairmore, Alberta.",,Canada; Alberta; Blairmore,The Camera Products Co.: Publisher,1930-06-20,,,1930,"Published by the Camera Products Co., 1731 Dunbar Street, Vancouver, BC .",Public Domain,Cities & towns; Cityscapes; Mountains
PC023461,https://archive.org/details/PC023461,"Banff Springs Hotel, Bow Valley, Banff, Alberta, Canada",image/jpeg,,,Canada; Alberta; Bow Valley Banff,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC003115,https://archive.org/details/PC003115,"[Brooks Aqueduct, Brooks, Alberta.]",image/jpeg,"View of construction of Brooks Aqueduct on Brooks, Alberta.",,Canada; Alberta; Brooks,,1913,,,1913,,Public Domain,Aqueducts
PC010290,https://archive.org/details/PC010290,"Eighth Avenue, Calgary, Alta.",image/jpeg,"View of Eighth Avenue and Centre Street in Calgary, Alberta. Burns Block (located at Centre Street and 8th Avenue) can be seen on left hand side with a partial view of the sign for E.H. Crandell Fire & Life Insurance. Canadian Bank of Commerce and Phenix Insurance were also located in the Burns Block. Two horse-drawn buggies can be seen in the centre.",,Canada; Alberta; Calgary,D.J. Young and Co.: Publisher,1906,,,1906,"D.J. Young and Co. Calgary, Canada",Public Domain,Commercial streets; Carts & wagons; Stores & shops; Utility poles
